Date,Time (UTC),Type,Symbol,Specification,Liquidity Indicator,Trading Fee Rate (bps),USD Amount USD,Fee (USD) USD,USD Balance USD,BTC Amount BTC,Fee (BTC) BTC,BTC Balance BTC,ETH Amount ETH,Fee (ETH) ETH,ETH Balance ETH,LTC Amount LTC,Fee (LTC) LTC,LTC Balance LTC,DOGE Amount DOGE,Fee (DOGE) DOGE,DOGE Balance DOGE,USDC Amount USDC,Fee (USDC) USDC,USDC Balance USDC,XRP Amount XRP,Fee (XRP) XRP,XRP Balance XRP,FET Amount FET,Fee (FET) FET,FET Balance FET,SHIB Amount SHIB,Fee (SHIB) SHIB,SHIB Balance SHIB,LRC Amount LRC,Fee (LRC) LRC,LRC Balance LRC,SUSHI Amount SUSHI,Fee (SUSHI) SUSHI,SUSHI Balance SUSHI,BONK Amount BONK,Fee (BONK) BONK,BONK Balance BONK,FTM Amount FTM,Fee (FTM) FTM,FTM Balance FTM,RNDR Amount RNDR,Fee (RNDR) RNDR,RNDR Balance RNDR,ALI Amount ALI,Fee (ALI) ALI,ALI Balance ALI,PEPE Amount PEPE,Fee (PEPE) PEPE,PEPE Balance PEPE,Trade ID,Order ID,Order Date,Order Time,Client Order ID,API Session,Tx Hash,Deposit Destination,Deposit Tx Output,Withdrawal Destination,Withdrawal Tx Output
2025-01-12,17:05:22.530,Buy,SHIBUSD,Limit,Maker,10.00 ,($156.49),($0.16),"$4,329.68 ",,,0.0 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,"7,171,800.0 SHIB ",,"19,911,100.0 SHIB ",,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885432686,73771238315005065,2025-01-12,17:05:11.406,0661c12f-7e26-40cf-914e-5114f2f7d3d3,web,,,,,
2025-01-12,17:05:24.749,Buy,SHIBUSD,Limit,Maker,10.00 ,($115.78),($0.12),"$4,213.78 ",,,0.0 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,"5,306,300.0 SHIB ",,"25,217,400.0 SHIB ",,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885432692,73771238315005065,2025-01-12,17:05:11.406,0661c12f-7e26-40cf-914e-5114f2f7d3d3,web,,,,,
2025-01-12,17:05:38.395,Buy,SHIBUSD,Limit,Maker,9.99847 ,($0.00),($0.00),"$4,213.78 ",,,0.0 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,60.0 SHIB ,,"25,217,460.0 SHIB ",,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885432706,73771238315005065,2025-01-12,17:05:11.406,0661c12f-7e26-40cf-914e-5114f2f7d3d3,web,,,,,
2025-01-12,17:26:27.176,Buy,DOGEUSD,Limit,Taker,30.00 ,($99.94),($0.30),"$4,113.54 ",,,0.0 BTC ,,,0.0 ETH ,,,0.0 LTC ,293.789294 DOGE ,,293.789294 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,"25,217,460.0 SHIB ",,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885433966,73771238315932203,2025-01-12,17:26:27.176,,web,,,,,
2025-01-12,19:01:39.394,Credit,BTC,Commission referral credit,,,,,"$4,113.54 ",0.00000686 BTC ,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,293.789294 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,"25,217,460.0 SHIB ",,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,,,,,,,,,,,
2025-01-12,21:11:50.161,Sell,SHIBUSD,StopLimit,Taker,30.00 ,$267.02 ,($0.80),"$4,379.76 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,293.789294 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,"(12,358,619.136585 SHIB)",,"12,858,840.863415 SHIB ",,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885453365,73771238317410516,2025-01-12,17:56:26.677,,web,,,,,
2025-01-12,21:11:50.161,Sell,SHIBUSD,StopLimit,Taker,30.00 ,$277.84 ,($0.83),"$4,656.77 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,293.789294 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,"(12,858,840.863415 SHIB)",,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885453364,73771238317410516,2025-01-12,17:56:26.677,,web,,,,,
2025-01-12,21:16:06.001,Sell,DOGEUSD,StopLimit,Taker,29.99999 ,$49.15 ,($0.15),"$4,705.77 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,(146.228065 DOGE),,147.561229 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885453846,73771238317289006,2025-01-12,17:53:53.049,,web,,,,,
2025-01-12,21:16:06.001,Sell,DOGEUSD,StopLimit,Taker,29.99999 ,$22.58 ,($0.07),"$4,728.28 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,(67.159636 DOGE),,80.401593 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885453845,73771238317289006,2025-01-12,17:53:53.049,,web,,,,,
2025-01-12,21:16:06.001,Sell,DOGEUSD,StopLimit,Taker,29.99997 ,$16.69 ,($0.05),"$4,744.92 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,(49.617436 DOGE),,30.784157 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885453844,73771238317289006,2025-01-12,17:53:53.049,,web,,,,,
